text,label
"Estoy muy feliz por mi nuevo trabajo.","alegría"
"Qué día tan maravilloso, todo salió perfecto.","alegría"
"Me encanta pasar tiempo con mi familia.","alegría"
"Gané el concurso, no lo puedo creer.","alegría"
"Hoy me siento en paz y agradecido.","alegría"
"No tengo ganas de hacer nada.","tristeza"
"Me siento solo aunque esté rodeado de gente.","tristeza"
"Extraño mucho a mi abuela.","tristeza"
"Todo me sale mal últimamente.","tristeza"
"Me duele el alma, no sé qué hacer.","tristeza"
"¡Esto es inaceptable, estoy furioso!","enojo"
"Me molesta que no me escuchen.","enojo"
"Siempre haces lo mismo, ya basta.","enojo"
"No soporto más esta situación.","enojo"
"Me irrita tu actitud indiferente.","enojo"
"No quiero salir, me da miedo lo que hay fuera.","miedo"
"Siento que algo malo va a pasar.","miedo"
"Me asusta quedarme solo en casa.","miedo"
"No puedo dormir por la ansiedad.","miedo"
"Me da pánico hablar en público.","miedo"
"¡No esperaba eso, qué sorpresa!","sorpresa"
"¿En serio? No lo puedo creer.","sorpresa"
"¡Wow! Eso sí que fue inesperado.","sorpresa"
"Me dejaste sin palabras con esa noticia.","sorpresa"
"¡Qué giro tan inesperado en la historia!","sorpresa"
"Me dio asco ver eso en la comida.","disgusto"
"Qué repulsivo fue ese comentario.","disgusto"
"Me desagrada su forma de actuar.","disgusto"
"Esa actitud me parece repugnante.","disgusto"
"No soporto ese olor, es nauseabundo.","disgusto"
text,label
"Hoy todo me salió bien, estoy muy contento.","alegría"
"Me reí tanto que me dolía el estómago.","alegría"
"Qué felicidad ver a mis amigos después de tanto tiempo.","alegría"
"Me siento lleno de energía y motivación.","alegría"
"¡Qué buena noticia me diste!","alegría"
"Estoy agradecido por todo lo que tengo.","alegría"
"Me encanta cómo va mi vida últimamente.","alegría"
"Disfruté muchísimo la película.","alegría"
"¡Qué hermoso día para salir a caminar!","alegría"
"Me siento pleno y en paz.","alegría"
"Me siento vacío por dentro.","tristeza"
"No tengo ganas de hablar con nadie.","tristeza"
"Todo parece gris hoy.","tristeza"
"Me cuesta levantarme de la cama.","tristeza"
"Siento que nadie me entiende.","tristeza"
"Estoy cansado de fingir que estoy bien.","tristeza"
"Me duele recordar lo que pasó.","tristeza"
"No encuentro consuelo en nada.","tristeza"
"Me siento desconectado del mundo.","tristeza"
"Las lágrimas no dejan de caer.","tristeza"
"¡Estoy harto de esta situación!","enojo"
"Siempre me interrumpes cuando hablo.","enojo"
"No puedo creer que me hayas mentido.","enojo"
"Me molesta tu falta de compromiso.","enojo"
"¡Esto es una falta de respeto!","enojo"
"Me hierve la sangre cuando lo recuerdo.","enojo"
"Estoy furioso por lo que pasó.","enojo"
"No tolero la injusticia.","enojo"
"Me saca de quicio tu actitud.","enojo"
"¡Basta ya!","enojo"
"No puedo dejar de pensar en lo peor.","miedo"
"Me paraliza la idea de fracasar.","miedo"
"Siento un nudo en el estómago.","miedo"
"Me da miedo salir solo de noche.","miedo"
"No sé qué hacer si algo malo ocurre.","miedo"
"Me asusta perder el control.","miedo"
"Tengo escalofríos solo de pensarlo.","miedo"
"Me siento vulnerable.","miedo"
"No quiero enfrentar esa situación.","miedo"
"Me da pánico equivocarme.","miedo"
"¡No esperaba verte aquí!","sorpresa"
"¿Cómo es posible que haya pasado eso?","sorpresa"
"¡Qué increíble coincidencia!","sorpresa"
"Me dejaste boquiabierto.","sorpresa"
"¡Eso sí que fue inesperado!","sorpresa"
"No puedo creer lo que acabo de oír.","sorpresa"
"¡Qué giro tan inesperado!","sorpresa"
"Me sorprendió tu reacción.","sorpresa"
"¡Jamás lo habría imaginado!","sorpresa"
"¡Eso me tomó por sorpresa!","sorpresa"
"Me repugna ese comportamiento.","disgusto"
"Qué desagradable fue esa experiencia.","disgusto"
"Me da asco solo pensarlo.","disgusto"
"No puedo soportar ese olor.","disgusto"
"Me desagrada profundamente esa actitud.","disgusto"
"Esa comida me revolvió el estómago.","disgusto"
"Me parece totalmente inapropiado.","disgusto"
"Qué mal gusto tiene eso.","disgusto"
"Me siento incómodo con esa persona.","disgusto"
"No quiero volver a pasar por eso.","disgusto"
